transaction_id,transaction_amount,transaction_hour,merchant_category,distance_from_home,previous_transactions,avg_transaction_amount,device_trust_score,international_transaction,failed_attempts,account_age_days,transactions_last_24h,fraud
100001,63.25,16,Online,22.55,38,27.57,0.76,0,0,1357,3,0
100002,35.71,17,Travel,22.61,45,13.29,0.87,1,2,2711,1,0
100003,72.45,3,Online,6.63,64,49.92,0.46,0,0,149,3,0
100004,159.29,2,Online,6.53,85,11.88,0.61,0,0,2092,3,0
100005,32.76,7,Fuel,6.96,54,83.97,0.95,1,0,2823,3,0
100006,32.76,3,Grocery,40.07,94,39.97,0.55,0,0,1665,4,0
100007,167.55,22,Restaurant,43.25,71,44.28,0.79,0,0,2309,4,0
100008,80.7,14,Online,0.27,13,24.62,0.76,0,1,1772,3,0
100009,26.51,12,Grocery,7.08,50,58.17,0.92,0,0,2576,3,0
100010,65.91,13,Electronics,8.96,43,9.56,0.78,1,0,1332,5,0
100011,26.65,13,Travel,72.7,7,30.46,0.74,0,0,2139,3,0
100012,26.6,4,Online,51.94,87,12.07,0.83,0,0,690,2,0
100013,50.29,4,Restaurant,17.82,44,45.99,0.65,0,1,2427,1,0
100014,7.23,21,Restaurant,0.84,64,18.34,0.54,0,1,1939,3,0
100015,8.56,12,Travel,3.82,7,35.7,0.84,1,1,547,3,0
100016,24.38,3,Electronics,10.25,10,23.61,0.67,0,0,1275,4,0
100017,16.26,17,Fuel,57.51,78,45.88,0.63,0,0,2653,5,0
100018,53.67,5,Electronics,1.79,69,41.04,0.69,0,0,861,3,0
100019,17.86,4,Restaurant,28.21,62,23.3,0.53,0,0,787,2,0
100020,11.35,2,Grocery,3.82,19,36.23,0.34,1,0,1917,4,1
100021,151.27,19,Travel,12.76,33,17.21,0.76,0,0,2269,2,0
100022,33.01,2,Fuel,26.22,62,149.15,0.44,0,0,2636,3,0
100023,42.98,2,Fuel,21.23,78,43.57,0.6,0,1,235,3,0
100024,11.22,19,Travel,26.91,67,31.89,0.89,0,0,1521,2,0
100025,24.78,1,Grocery,30.24,7,7.01,0.53,0,0,1439,4,0
100026,44.69,19,Electronics,6.57,30,47.99,0.6,0,1,1749,3,0
100027,14.36,17,Electronics,8.15,91,10.04,0.92,0,0,2516,4,0
100028,56.72,9,Restaurant,30.45,36,25.41,0.81,0,0,1356,2,0
100029,23.56,23,Restaurant,0.71,75,24.55,0.56,0,0,1055,7,0
100030,31.11,20,Online,13.0,100,110.38,0.48,0,0,1274,2,0
100031,23.53,6,Online,45.55,16,39.8,0.65,0,1,2550,7,0
100032,214.23,19,Electronics,38.93,81,16.0,0.86,0,0,153,3,0
100033,39.96,21,Online,29.36,19,15.0,0.65,0,1,2235,1,0
100034,15.61,13,Fuel,0.39,35,41.86,0.6,0,1,553,1,0
100035,84.8,9,Restaurant,39.36,38,60.9,0.77,1,0,2620,2,0
100036,13.48,19,Fuel,43.68,58,31.2,0.96,0,0,2821,7,0
